1,Marje,Manilove,3
2,Ogdan,Marling,2
3,Bethany,People,8
4,Bo,Mathen,4
5,Lou,Leblanc,6
6,Helene,Bonnesen,6
7,Claudetta,Wagstaff,5
8,Ortensia,Burhill,6
9,Carny,Pougher,7
10,Tonnie,Hurdle,3
11,Beniamino,Cisland,3
12,Marna,Windebank,1
13,Rourke,Isherwood,3
14,Wilona,Middiff,3
15,Emmery,Ticehurst,8
16,Dewain,Colleymore,5
17,Babb,Ambrosio,3
18,Waring,Burr,8
19,Merv,Rodenborch,5
20,Sunny,Rillstone,5
21,Sal,Chainey,6
22,Trace,Heelis,2
23,Joycelin,Camilli,3
24,Dusty,De Hoogh,4
25,Henrietta,Helleckas,2
26,Luisa,Buttress,4
27,Lorin,Richarson,6
28,Millie,Gossling,8
29,Sheree,Inglese,8
30,Niel,Eastcott,4
31,Hans,Petzold,8
32,Ceil,Walesby,5
33,Kally,Lethley,7
34,Humphrey,Gigg,5
35,Hurleigh,Font,1
36,Clareta,Monk,2
37,Lissy,Orpen,3
38,Edmon,Baden,4
39,Sophia,Pilsworth,4
40,Matti,Quarterman,2
41,Allie,Camerana,4
42,Krystle,Brushfield,4
43,Shaun,Gadd,5
44,Averil,Gaffey,8
45,Carmelle,Belli,8
46,Charity,Woan,8
47,Carina,O'Flynn,6
48,Janene,McNuff,2
49,Binnie,Grasser,2
50,Verna,Pinnion,2
51,Baryram,August,5
52,Liesa,Steckings,4
53,Jeremiah,Pattingson,6
54,Alvis,Ferrucci,3
55,Griff,Meneer,5
56,Garv,Elgar,7
57,Hedvig,Chisnall,3
58,Court,Mehmet,4
59,Dom,Wyre,5
60,Lindie,Warlaw,8
61,Binny,Tourner,5
62,Wildon,Beggio,5
63,Berkley,Stroband,6
64,Ruth,Shadrack,1
65,Evy,Malpas,8
66,Fidelity,Revill,5
67,Benni,Meates,6
68,Jorgan,Boughtwood,4
69,Gris,Odell,1
70,Berky,Cragoe,7
71,Mickie,Murgatroyd,2
